Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
405,MikeÿFreeman*,29,3TM,35,66,-10,0,0,0,0,-9,-0.9,2,-7,-0.7,0.474,0.498,-0.7,0,-7,freemmi01,MikeÿFreeman*,MikeÿFreeman,MikeÿFreeman,mikefreeman
406,SamÿFreeman,30,ATL,54,2,-1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,freemsa01,SamÿFreeman,SamÿFreeman,SamÿFreeman,samfreeman
407,DavidÿFreese,34,PIT,130,503,1,-3,-1,8,2,7,0.6,16,24,2.2,0.506,0.504,1.4,1,15,freesda01,DavidÿFreese,DavidÿFreese,DavidÿFreese,davidfreese
408,DavidÿFreitas,28,ATL,6,17,-1,0,0,0,0,-1,-0.1,1,0,0,0.487,0.5,0,0,0,freitda01,DavidÿFreitas,DavidÿFreitas,DavidÿFreitas,davidfreitas
409,MaxÿFried*,23,ATL,10,9,-1,0,0,0,1,0,0,0,0,0,0.502,0.5,0,0,0,friedma01,MaxÿFried*,MaxÿFried,MaxÿFried,maxfried
412,EricÿFryer,31,STL,34,83,-7,1,0,0,1,-5,-0.5,3,-2,-0.3,0.485,0.497,-0.3,0.1,-2,fryerer01,EricÿFryer,EricÿFryer,EricÿFryer,ericfryer
413,ReyÿFuentes*,26,ARI,64,145,-9,1,1,2,0,-5,-0.5,5,0,-0.1,0.492,0.497,-0.3,0.2,-2,fuentre01,ReyÿFuentes*,ReyÿFuentes,ReyÿFuentes,reyfuentes
415,MichaelÿFulmer,24,DET,2,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,0.456,0.499,-0.1,0,-1,fulmemi01,MichaelÿFulmer,MichaelÿFulmer,MichaelÿFulmer,michaelfulmer
416,RockyÿGale,29,SDP,3,10,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.467,0.499,-0.1,0,-1,galero01,RockyÿGale,RockyÿGale,RockyÿGale,rockygale
417,CamÿGallagher,24,KCR,13,27,1,0,0,-1,0,0,0,1,1,0.1,0.498,0.5,0.2,0,2,gallaca01,CamÿGallagher,CamÿGallagher,CamÿGallagher,camgallagher
418,YovaniÿGallardo,31,SEA,1,2,0,0,0,0,0,1,0.1,0,1,0.1,0.55,0.5,0.1,0,1,gallayo01,YovaniÿGallardo,YovaniÿGallardo,YovaniÿGallardo,yovanigallardo
420,JoeyÿGallo*,23,TEX,145,532,14,2,1,-4,-3,10,1.1,19,29,2.9,0.507,0.506,3.3,-0.6,33,gallojo01,JoeyÿGallo*,JoeyÿGallo,JoeyÿGallo,joeygallo
421,FreddyÿGalvis#,27,PHI,162,663,-12,1,0,5,8,2,0,22,23,2.1,0.501,0.501,1.7,1.3,18,galvifr01,FreddyÿGalvis#,FreddyÿGalvis,FreddyÿGalvis,freddygalvis
422,BenÿGamel*,25,SEA,134,550,2,1,2,-9,-5,-10,-0.9,20,10,1,0.493,0.494,1.9,-1.4,19,gamelbe01,BenÿGamel*,BenÿGamel,BenÿGamel,bengamel
423,JohnÿGant,24,STL,7,3,-1,0,0,0,0,0,0,0,0,0,0.495,0.5,0,0,0,gantjo01,JohnÿGant,JohnÿGant,JohnÿGant,johngant
424,AdonisÿGarc¡a,32,ATL,52,183,-7,1,-1,-3,1,-9,-0.9,6,-3,-0.4,0.483,0.494,0,-0.2,0,garciad01,AdonisÿGarcia,AdonisÿGarcia,AdonisÿGarcia,adonisgarcia
425,Avisa¡lÿGarc¡a,26,CHW,136,561,28,3,-1,-1,-5,24,2.5,20,44,4.4,0.518,0.515,4.5,-0.6,45,garciav01,AvisailÿGarcia,AvisailÿGarcia,AvisailÿGarcia,avisailgarcia
426,GregÿGarcia*,27,STL,133,290,-2,2,0,-5,2,-3,-0.4,9,6,0.5,0.498,0.498,1,-0.3,11,garcigr01,GregÿGarcia*,GregÿGarcia,GregÿGarcia,greggarcia
427,JaimeÿGarc¡a*,30,3TM,16,37,-4,0,0,0,6,2,0.2,0,2,0.2,0.514,0.501,0.2,0,2,garcija02,JaimeÿGarcia*,JaimeÿGarcia,JaimeÿGarcia,jaimegarcia
428,Jarl¡nÿGarc¡a*,24,MIA,64,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,garcija04,JarlinÿGarcia*,JarlinÿGarcia,JarlinÿGarcia,jarlingarcia
429,LeuryÿGarc¡a#,26,CHW,87,326,-2,0,2,-1,0,-1,-0.1,12,10,1,0.498,0.499,1.1,0,11,garcile02,LeuryÿGarcia#,LeuryÿGarcia,LeuryÿGarcia,leurygarcia
430,LuisÿGarc¡a,30,PHI,63,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,garcilu03,LuisÿGarcia,LuisÿGarcia,LuisÿGarcia,luisgarcia
432,WillyÿGarc¡a,24,CHW,44,119,-2,0,0,-4,-1,-7,-0.7,4,-3,-0.3,0.484,0.496,0.1,-0.5,1,garciwi01,WillyÿGarcia,WillyÿGarcia,WillyÿGarcia,willygarcia
433,NickÿGardewine,23,TEX,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,gardeni01,NickÿGardewine,NickÿGardewine,NickÿGardewine,nickgardewine
434,BrettÿGardner*,33,NYY,151,682,8,1,1,21,-5,27,2.8,23,50,5,0.518,0.517,2.9,1.7,29,gardnbr01,BrettÿGardner*,BrettÿGardner,BrettÿGardner,brettgardner
435,DustinÿGarneau,29,2TM,41,126,-8,1,0,5,2,0,0,4,5,0.4,0.5,0.5,-0.1,0.7,-1,garnedu01,DustinÿGarneau,DustinÿGarneau,DustinÿGarneau,dustingarneau
436,AmirÿGarrett,25,CIN,15,23,-5,0,-1,0,4,-3,-0.3,0,-3,-0.3,0.482,0.498,-0.3,0,-3,garream01,AmirÿGarrett,AmirÿGarrett,AmirÿGarrett,amirgarrett
438,MitchÿGarver,26,MIN,23,52,-2,0,0,0,0,-1,-0.1,2,0,0.1,0.494,0.499,0.1,0,0,garvemi01,MitchÿGarver,MitchÿGarver,MitchÿGarver,mitchgarver
