Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
891,AdamÿOttavino#,30,COL,30,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ottavad01,AdamÿOttavino#,AdamÿOttavino,AdamÿOttavino,adamottavino
894,ChrisÿOwings,24,ARI,119,466,-9,4,3,-6,5,-4,-0.5,15,12,1,0.497,0.498,1.6,-0.2,18,owingch01,ChrisÿOwings,ChrisÿOwings,ChrisÿOwings,chrisowings
895,MarcellÿOzuna,25,MIA,148,608,12,-2,1,-10,2,3,0.1,20,23,2.1,0.502,0.502,3.1,-0.9,32,ozunama01,MarcellÿOzuna,MarcellÿOzuna,MarcellÿOzuna,marcellozuna
896,JordanÿPacheco,30,CIN,31,51,-7,0,0,-1,0,-8,-0.9,2,-6,-0.7,0.473,0.495,-0.6,-0.1,-5,pachejo01,JordanÿPacheco,JordanÿPacheco,JordanÿPacheco,jordanpacheco
897,?ngelÿPag n#,34,SFG,129,543,3,4,0,-1,-5,2,0.1,18,19,1.8,0.501,0.501,1.9,-0.6,20,paganan01,AngelÿPagan#,AngelÿPagan,AngelÿPagan,angelpagan
898,JoeÿPanik*,25,SFG,127,526,-9,1,0,2,3,-3,-0.4,17,14,1.2,0.498,0.498,1,0.5,12,panikjo01,JoeÿPanik*,JoeÿPanik,JoeÿPanik,joepanik
899,JonathanÿPapelbon,35,WSN,34,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,papeljo01,JonathanÿPapelbon,JonathanÿPapelbon,JonathanÿPapelbon,jonathanpapelbon
900,JimmyÿParedes#,27,2TM,83,167,-7,-1,1,2,-2,-7,-0.7,5,-1,-0.2,0.492,0.496,-0.4,0,-3,paredji01,JimmyÿParedes#,JimmyÿParedes,JimmyÿParedes,jimmyparedes
901,ByungHoÿPark,29,MIN,62,244,-6,1,0,-2,-5,-12,-1.2,9,-3,-0.3,0.48,0.492,-0.1,-0.7,-1,parkby01,ByungHoÿPark,ByungHoÿPark,ByungHoÿPark,byunghopark
903,JarrettÿParker*,27,SFG,63,151,2,0,0,-3,-2,-3,-0.3,5,2,0.2,0.496,0.498,0.5,-0.5,5,parkeja03,JarrettÿParker*,JarrettÿParker,JarrettÿParker,jarrettparker
904,ChrisÿParmelee*,28,NYY,6,8,3,0,0,0,0,3,0.3,0,3,0.3,0.545,0.502,0.3,0,3,parmech01,ChrisÿParmelee*,ChrisÿParmelee,ChrisÿParmelee,chrisparmelee
906,GerardoÿParra*,29,COL,102,381,-18,-2,-1,-8,-4,-34,-3.6,12,-21,-2.4,0.466,0.478,-1.6,-1.3,-13,parrage01,GerardoÿParra*,GerardoÿParra,GerardoÿParra,gerardoparra
907,CurtisÿPartch,29,PIT,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,partccu01,CurtisÿPartch,CurtisÿPartch,CurtisÿPartch,curtispartch
908,JordanÿPatterson*,24,COL,10,19,1,-1,0,0,0,0,0,1,1,0.1,0.504,0.5,0.1,0,1,pattejo03,JordanÿPatterson*,JordanÿPatterson,JordanÿPatterson,jordanpatterson
909,SpencerÿPatton,28,CHC,16,2,-1,0,0,0,0,0,0,0,0,0,0.498,0.5,0,0,0,pattosp01,SpencerÿPatton,SpencerÿPatton,SpencerÿPatton,spencerpatton
911,BenÿPaulsen*,28,COL,39,97,-8,0,0,-5,-1,-15,-1.5,3,-11,-1.2,0.461,0.491,-0.7,-0.7,-6,paulsbe01,BenÿPaulsen*,BenÿPaulsen,BenÿPaulsen,benpaulsen
912,JamesÿPaxton*,27,SEA,2,4,-1,0,0,0,1,0,0,0,0,0,0.505,0.5,0,0,0,paxtoja01,JamesÿPaxton*,JamesÿPaxton,JamesÿPaxton,jamespaxton
914,BradÿPeacock,28,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,peacobr01,BradÿPeacock,BradÿPeacock,BradÿPeacock,bradpeacock
915,SteveÿPearce,33,2TM,85,302,16,-1,0,-1,-4,10,1.1,11,21,2.2,0.512,0.505,2.3,-0.4,22,pearcst01,SteveÿPearce,SteveÿPearce,SteveÿPearce,stevepearce
916,JakeÿPeavy,35,SFG,28,31,-3,0,0,0,5,2,0.1,0,2,0.1,0.506,0.501,0.1,0,2,peavyja01,JakeÿPeavy,JakeÿPeavy,JakeÿPeavy,jakepeavy
917,JocÿPederson*,24,LAD,137,476,15,-1,1,2,3,19,1.9,15,35,3.4,0.515,0.512,3.2,0.4,33,pederjo01,JocÿPederson*,JocÿPederson,JocÿPederson,jocpederson
918,DustinÿPedroia,32,BOS,154,698,19,-1,-2,8,4,29,3.1,23,52,5.4,0.519,0.518,4.6,1.4,44,pedrodu01,DustinÿPedroia,DustinÿPedroia,DustinÿPedroia,dustinpedroia
920,ArielÿPe¤a,27,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,penaar01,ArielÿPena,ArielÿPena,ArielÿPena,arielpena
