Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names ,clean_end,no_period,clean_name 
873,JohnÿRyanÿMurphy,28,2TM,26,70,-4,0,0,2,1,0,0,2,2,0.2,0.5,0.5,0,0.3,0,murphjr01,JohnÿRyanÿMurphy,JohnÿRyanÿMurphy,JohnÿRyanÿMurphy,johnryanmurphy
874,SeanÿMurphy,24,OAK,20,60,3,1,0,0,1,4,0.4,2,6,0.6,0.519,0.502,0.6,0.1,6,murphse01,SeanÿMurphy,SeanÿMurphy,SeanÿMurphy,seanmurphy
875,TomÿMurphy,28,SEA,75,281,8,0,0,5,4,17,1.7,10,27,2.6,0.522,0.51,2.1,1,22,murphto04,TomÿMurphy,TomÿMurphy,TomÿMurphy,tommurphy
876,HarrisonÿMusgrave*,27,COL,9,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,musgrha01,HarrisonÿMusgrave*,HarrisonÿMusgrave,HarrisonÿMusgrave,harrisonmusgrave
877,JoeÿMusgrove,26,PIT,44,61,-8,0,0,0,7,-1,-0.1,1,0,0,0.498,0.5,0,0,0,musgrjo01,JoeÿMusgrove,JoeÿMusgrove,JoeÿMusgrove,joemusgrove
878,WilÿMyers,28,SDP,155,490,-1,-2,-1,-10,-3,-17,-1.9,16,-1,-0.4,0.489,0.489,0.8,-1.5,9,myerswi01,WilÿMyers,WilÿMyers,WilÿMyers,wilmyers
879,TylerÿNaquin*,28,CLE,89,294,0,1,-1,8,-4,3,0.4,11,14,1.4,0.504,0.502,0.6,0.5,6,naquity01,TylerÿNaquin*,TylerÿNaquin,TylerÿNaquin,tylernaquin
880,OmarÿNarv ez*,27,SEA,132,482,12,-2,0,-10,5,4,0.6,17,22,2.2,0.503,0.503,3.1,-0.3,31,narvaom01,OmarÿNarvaez*,OmarÿNarvaez,OmarÿNarvaez,omarnarvaez
881,JoshÿNaylor*,22,SDP,94,279,-3,0,2,-4,-3,-8,-0.9,9,2,0,0.492,0.495,0.5,-0.8,5,naylojo01,JoshÿNaylor*,JoshÿNaylor,JoshÿNaylor,joshnaylor
882,KristopherÿNegr¢n,33,2TM,40,82,-3,-1,0,4,0,0,0,3,3,0.2,0.5,0.5,-0.2,0.4,-1,negrokr01,KristopherÿNegron,KristopherÿNegron,KristopherÿNegron,kristophernegron
883,JimmyÿNelson,30,MIL,10,3,-1,0,0,0,0,0,0,0,0,0,0.496,0.5,0,0,0,nelsoji02,JimmyÿNelson,JimmyÿNelson,JimmyÿNelson,jimmynelson
884,H‚ctorÿNeris,30,PHI,63,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,-0.1,0,nerishe01,HectorÿNeris,HectorÿNeris,HectorÿNeris,hectorneris
885,PatÿNeshek#,38,PHI,20,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,neshepa01,PatÿNeshek#,PatÿNeshek,PatÿNeshek,patneshek
886,SheldonÿNeuse,24,OAK,25,61,-3,0,0,4,0,1,0.1,2,3,0.3,0.504,0.501,-0.1,0.5,-1,neusesh01,SheldonÿNeuse,SheldonÿNeuse,SheldonÿNeuse,sheldonneuse
887,DovydasÿNeverauskas,26,PIT,10,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,neverdo01,DovydasÿNeverauskas,DovydasÿNeverauskas,DovydasÿNeverauskas,dovydasneverauskas
888,JakeÿNewberry,24,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,newbeja01,JakeÿNewberry,JakeÿNewberry,JakeÿNewberry,jakenewberry
889,SeanÿNewcomb*,26,ATL,52,8,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,0.498,0.499,-0.1,-0.1,-1,newcose01,SeanÿNewcomb*,SeanÿNewcomb,SeanÿNewcomb,seannewcomb
890,KevinÿNewman,25,PIT,130,531,12,0,2,-5,6,16,1.3,17,33,3,0.512,0.51,3.7,0,38,newmake01,KevinÿNewman,KevinÿNewman,KevinÿNewman,kevinnewman
891,JuanÿNicasio,32,PHI,45,2,-1,0,0,0,0,0,0,0,0,0,0.499,0.5,0,0,0,nicasju01,JuanÿNicasio,JuanÿNicasio,JuanÿNicasio,juannicasio
892,Tom sÿNido,25,NYM,50,144,-12,-1,0,-1,3,-12,-1.3,5,-7,-0.8,0.476,0.493,-0.7,0.1,-6,nidoto01,TomasÿNido,TomasÿNido,TomasÿNido,tomasnido
893,BrandonÿNimmo*,26,NYM,69,254,4,-1,0,-1,-1,2,0.1,8,10,0.9,0.503,0.501,1.1,-0.3,11,nimmobr01,BrandonÿNimmo*,BrandonÿNimmo,BrandonÿNimmo,brandonnimmo
894,H‚ctorÿNoes¡,32,MIA,12,5,0,0,0,0,1,0,0,0,0,0,0.503,0.5,0,0,0,noesihe01,HectorÿNoesi,HectorÿNoesi,HectorÿNoesi,hectornoesi
895,StephenÿNogosek,24,NYM,7,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,nogosst01,StephenÿNogosek,StephenÿNogosek,StephenÿNogosek,stephennogosek
896,AaronÿNola,26,PHI,32,70,-8,-1,0,0,11,3,0.3,0,3,0.3,0.51,0.502,0.3,0,3,nolaaa01,AaronÿNola,AaronÿNola,AaronÿNola,aaronnola
897,AustinÿNola,29,SEA,79,267,4,2,-1,2,-3,5,0.5,10,14,1.4,0.506,0.503,1.2,0,12,nolaau01,AustinÿNola,AustinÿNola,AustinÿNola,austinnola
898,JakeÿNoll,25,WSN,8,13,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.483,0.499,-0.1,0,-1,nollja01,JakeÿNoll,JakeÿNoll,JakeÿNoll,jakenoll
899,DanielÿNorris*,26,DET,4,6,-1,0,0,0,1,0,0,0,0,0,0.495,0.5,0,0,0,norrida01,DanielÿNorris*,DanielÿNorris,DanielÿNorris,danielnorris
900,JamesÿNorwood,25,CHC,9,1,0,0,0,0,0,0,0,0,0,0,0.499,0.5,0,0,0,norwoja01,JamesÿNorwood,JamesÿNorwood,JamesÿNorwood,jamesnorwood
