Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1109,PabloÿReyes,28,MIL,5,16,-1,0,0,-1,0,-2,-0.2,1,-1,0.463,0.499,0,-0.1,0,reyespa01,PabloÿReyes,PabloÿReyes,PabloÿReyes,pabloreyes
1110,V¡ctorÿReyes#,27,DET,92,336,-7,0,0,0,-3,-10,-1.1,11,2,0.488,0.493,0.1,-0.4,1,reyesvi01,VictorÿReyes#,VictorÿReyes,VictorÿReyes,victorreyes
1111,BryanÿReynolds#,27,PIT,145,614,21,-1,1,-14,2,9,1,21,30,0.507,0.506,4.4,-1.2,44,reynobr01,BryanÿReynolds#,BryanÿReynolds,BryanÿReynolds,bryanreynolds
1112,MattÿReynolds,31,2TM,93,272,-6,1,-1,2,1,-2,-0.2,9,7,0.498,0.499,0.4,0.4,5,reynoma03,MattÿReynolds,MattÿReynolds,MattÿReynolds,mattreynolds
1115,JTÿRiddle*,30,CIN,2,4,0,0,0,0,0,0,0,0,0,0.483,0.5,0,0,0,riddljt01,JTÿRiddle*,JTÿRiddle,JTÿRiddle,jtriddle
1116,AustinÿRiley,25,ATL,159,693,32,-2,-1,6,4,39,4.2,23,62,0.526,0.525,5.6,1.2,56,rileyau01,AustinÿRiley,AustinÿRiley,AustinÿRiley,austinriley
1117,EdwinÿR¡os*,28,LAD,27,92,1,0,0,-1,-2,-2,-0.2,3,1,0.493,0.499,0.2,-0.3,2,riosed01,EdwinÿRios*,EdwinÿRios,EdwinÿRios,edwinrios
1118,AlfonsoÿRivasÿIII*,25,CHC,101,287,-9,0,1,6,-4,-6,-0.6,10,4,0.494,0.496,-0.3,0.2,-2,rivasal01,AlfonsoÿRivasÿIII*,AlfonsoÿRivasÿIII,AlfonsoÿRivasÿIII,alfonsorivasiii
1119,EmmanuelÿRivera,26,2TM,102,359,-1,-1,-1,6,1,4,0.4,12,16,0.504,0.501,1,0.8,10,riverem01,EmmanuelÿRivera,EmmanuelÿRivera,EmmanuelÿRivera,emmanuelrivera
1120,Sebasti nÿRivero,23,KCR,17,29,-3,0,0,0,1,-3,-0.3,1,-2,0.483,0.498,-0.2,0.1,-2,riverse01,SebastianÿRivero,SebastianÿRivero,SebastianÿRivero,sebastianrivero
1121,AnthonyÿRizzo*,32,NYY,130,548,16,-1,0,-3,-7,4,0.5,19,23,0.504,0.503,2.7,-1.1,26,rizzoan01,AnthonyÿRizzo*,AnthonyÿRizzo,AnthonyÿRizzo,anthonyrizzo
1122,LuisÿRobertÿJr.,24,CHW,98,401,6,3,1,-4,3,8,0.8,14,21,0.508,0.505,2.6,-0.2,25,roberlu01,LuisÿRobertÿJr.,LuisÿRobertÿJr.,LuisÿRobertÿJr,luisrobertjr
1124,DavidÿRobertson,37,2TM,2,1,0,0,0,0,0,0,0,0,0,0.495,0.5,0,0,0,roberda08,DavidÿRobertson,DavidÿRobertson,DavidÿRobertson,davidrobertson
1125,KramerÿRobertson,27,STL,2,1,0,0,0,-1,0,-1,-0.1,0,-1,0.434,0.499,0,-0.1,0,roberkr01,KramerÿRobertson,KramerÿRobertson,KramerÿRobertson,kramerrobertson
1126,ChuckieÿRobinson,27,CIN,25,60,-7,0,0,0,1,-7,-0.7,2,-5,0.472,0.496,-0.5,0.2,-5,robinch04,ChuckieÿRobinson,ChuckieÿRobinson,ChuckieÿRobinson,chuckierobinson
1128,V¡ctorÿRobles,25,WSN,132,407,-13,1,1,12,3,4,0.5,14,18,0.503,0.503,0.5,1.6,6,roblevi01,VictorÿRobles,VictorÿRobles,VictorÿRobles,victorrobles
1129,BrendanÿRodgers,25,COL,137,581,-3,2,-3,22,4,22,2.5,20,42,0.517,0.515,1.9,2.9,20,rodgebr02,BrendanÿRodgers,BrendanÿRodgers,BrendanÿRodgers,brendanrodgers
1134,JoelyÿRodr¡guez*,30,NYM,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,rodrijo06,JoelyÿRodriguez*,JoelyÿRodriguez,JoelyÿRodriguez,joelyrodriguez
1135,JulioÿRodr¡guez,21,SEA,132,560,31,3,0,3,4,42,4.4,19,61,0.533,0.527,6,0.7,58,rodriju01,JulioÿRodriguez,JulioÿRodriguez,JulioÿRodriguez,juliorodriguez
1139,TaylorÿRogers*,31,2TM,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,rogerta01,TaylorÿRogers*,TaylorÿRogers,TaylorÿRogers,taylorrogers
1142,JoseÿRojas*,29,LAA,22,57,-8,0,0,-3,0,-12,-1.3,2,-10,0.441,0.492,-0.8,-0.3,-7,rojasjo02,JoseÿRojas*,JoseÿRojas,JoseÿRojas,joserojas
1143,JoshÿRojas*,28,ARI,125,510,5,5,1,-1,3,13,1.5,17,31,0.511,0.508,3.2,0.3,32,rojasjo01,JoshÿRojas*,JoshÿRojas,JoshÿRojas,joshrojas
1144,MiguelÿRojas,33,MIA,140,507,-14,-2,0,17,7,7,0.8,17,24,0.505,0.505,0.6,2.6,7,rojasmi02,MiguelÿRojas,MiguelÿRojas,MiguelÿRojas,miguelrojas
1147,JoJoÿRomero*,25,2TM,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,romerjo01,JoJoÿRomero*,JoJoÿRomero,JoJoÿRomero,jojoromero
1149,AustinÿRomine,33,3TM,51,136,-13,-1,0,0,3,-11,-1.2,5,-7,0.477,0.496,-0.7,0.3,-6,rominau01,AustinÿRomine,AustinÿRomine,AustinÿRomine,austinromine
1152,BrentÿRooker,27,2TM,16,36,-4,0,0,0,-1,-5,-0.6,1,-4,0.466,0.498,-0.4,-0.1,-4,rookebr01,BrentÿRooker,BrentÿRooker,BrentÿRooker,brentrooker
1153,AmedÿRosario,26,CLE,153,670,3,5,0,4,8,19,2.1,22,42,0.514,0.513,3.8,1.2,37,rosaram01,AmedÿRosario,AmedÿRosario,AmedÿRosario,amedrosario
1154,EddieÿRosario*,30,ATL,80,270,-14,1,1,-9,-3,-24,-2.5,9,-15,0.468,0.484,-0.8,-1.3,-6,rosared01,EddieÿRosario*,EddieÿRosario,EddieÿRosario,eddierosario
1155,EguyÿRosario,22,SDP,7,6,0,0,0,1,0,1,0.1,0,1,0.511,0.5,0,0.1,0,rosareg01,EguyÿRosario,EguyÿRosario,EguyÿRosario,eguyrosario
1159,DarinÿRuf,35,2TM,118,388,-5,0,-1,-14,-7,-27,-2.8,13,-14,0.476,0.491,-0.1,-2.2,0,rufda01,DarinÿRuf,DarinÿRuf,DarinÿRuf,darinruf
1160,EsteuryÿRuiz,23,2TM,17,36,-3,-1,0,-2,0,-6,-0.7,1,-5,0.461,0.497,-0.3,-0.3,-3,ruizes01,EsteuryÿRuiz,EsteuryÿRuiz,EsteuryÿRuiz,esteuryruiz
1162,KeibertÿRuiz#,23,WSN,112,433,-3,0,-1,-3,7,0,0.1,15,15,0.5,0.5,1.8,0.5,18,ruizke01,KeibertÿRuiz#,KeibertÿRuiz,KeibertÿRuiz,keibertruiz
1164,AdleyÿRutschman#,24,BAL,113,470,18,4,1,9,5,36,3.8,16,52,0.534,0.524,4.5,1.5,43,rutscad01,AdleyÿRutschman#,AdleyÿRutschman,AdleyÿRutschman,adleyrutschman
1173,GaryÿS nchez,29,MIN,128,471,-9,-1,0,-1,4,-7,-0.8,16,9,0.494,0.495,1,0.2,10,sanchga02,GaryÿSanchez,GaryÿSanchez,GaryÿSanchez,garysanchez
1174,Jes£sÿS nchez*,24,MIA,98,343,-5,-1,0,3,2,-2,-0.2,12,10,0.498,0.499,0.6,0.5,7,sanchje02,JesusÿSanchez*,JesusÿSanchez,JesusÿSanchez,jesussanchez
1176,YolmerÿSanchez#,30,2TM,17,44,-6,-1,0,-1,0,-7,-0.8,2,-5,0.456,0.497,-0.5,-0.1,-4,sanchca01,YolmerÿSanchez#,YolmerÿSanchez,YolmerÿSanchez,yolmersanchez
1181,DonnyÿSands,26,PHI,3,4,0,0,0,0,0,-1,-0.1,0,-1,0.475,0.5,-0.1,0,-1,sandsdo01,DonnyÿSands,DonnyÿSands,DonnyÿSands,donnysands
